# See crns_meta.json and crns_attributes.txt for further details.
datetime	press1	temp1	relhum1	volt	counts1	nsecs1	counts_bare	nsecs_bare	cph_filtered
2019-07-25T10:59:00	1013.9	36.8	24.9	13.8	705	1140	333	1140	2226.3
2019-07-25T11:19:00	1013.6	36.9	22.8	13.8	719	1200	374	1200	2157.0
2019-07-25T11:39:00	1013.7	37.0	21.6	13.8	748	1200	346	1199	2244.0
2019-07-25T11:59:00	1013.6	37.2	20.8	13.8	763	1200	371	1200	2289.0
2019-07-25T12:19:00	1013.5	37.2	20.0	13.4	740	1200	385	1200	2220.0
2019-07-25T12:39:00	1013.4	37.0	19.5	13.4	785	1200	324	1200	2355.0
2019-07-25T12:59:00	1013.3	36.8	19.2	13.4	738	1200	385	1200	2214.0
2019-07-25T13:19:00	1013.2	36.9	18.9	13.4	747	1200	355	1200	2241.0
2019-07-25T13:39:00	1013.1	36.7	18.6	13.4	746	1200	347	1200	2238.0
2019-07-25T13:59:00	1013.0	36.8	18.5	13.4	788	1199	346	1200	2366.0
2019-07-25T14:19:00	1012.8	36.7	18.4	13.4	701	1200	375	1200	2103.0
2019-07-25T14:39:00	1012.8	36.7	18.3	13.4	769	1200	351	1200	2307.0
2019-07-25T14:59:00	1012.6	36.6	18.2	13.4	796	1200	346	1200	2388.0
2019-07-25T15:19:00	1012.6	36.5	18.1	13.4	772	1200	350	1200	2316.0
2019-07-25T15:39:00	1012.5	36.5	18.0	13.4	755	1200	411	1200	2265.0
2019-07-25T15:59:00	1012.4	36.4	17.9	13.4	774	1200	368	1200	2322.0
2019-07-25T16:19:00	1012.4	36.3	17.8	13.4	794	1200	389	1200	2382.0
2019-07-25T16:39:00	1012.4	36.2	17.8	13.4	766	1200	379	1200	2298.0
2019-07-25T16:59:00	1012.4	36.1	17.7	13.4	759	1200	398	1200	2277.0
2019-07-25T17:19:00	1012.3	35.7	17.7	13.4	797	1200	369	1200	2391.0
2019-07-25T17:39:00	1012.4	35.3	17.7	13.4	743	1200	367	1200	2229.0
