# See crns_meta.json and crns_attributes.txt for further details.
datetime	press1	temp1	relhum1	volt	press4	temp_ext	relhum_ext	counts1	nsecs1	cph_filtered
2019-07-18T10:17:00	1008.4	28.5	23.7	13.9	1010.3	26.2	37.9	702	1097	2303.7
2019-07-18T10:37:00	1008.6	29.0	19.5	13.9	1010.2	26.2	36.1	802	1200	2406.0
2019-07-18T10:57:00	1008.6	29.6	16.8	13.9	1010.0	25.9	35.2	783	1200	2349.0
2019-07-18T11:17:00	1008.6	30.0	15.2	13.5	1009.7	26.5	34.8	738	1200	2214.0
2019-07-18T11:37:00	1008.6	30.3	14.2	13.4	1009.6	25.5	34.4	818	1200	2454.0
2019-07-18T11:57:00	1008.6	30.5	13.3	13.4	1009.3	26.2	32.8	812	1200	2436.0
2019-07-18T12:17:00	1008.5	30.9	12.6	13.4	1009.3	28.2	30.3	779	1200	2337.0
2019-07-18T12:37:00	1008.5	31.2	12.1	13.4	1009.3	28.2	32.2	821	1200	2463.0
2019-07-18T12:57:00	1008.5	31.4	11.8	13.4	1009.4	28.0	30.2	788	1200	2364.0
2019-07-18T13:17:00	1008.3	30.8	11.5	13.4	1009.2	25.8	33.8	823	1200	2469.0
2019-07-18T13:37:00	1008.2	30.3	11.5	13.4	1009.0	26.8	35.3	758	1200	2274.0
2019-07-18T13:57:00	1007.9	29.9	11.3	13.5	1009.0	26.8	35.6	847	1200	2541.0
2019-07-18T14:17:00	1007.8	30.0	11.3	13.5	1008.9	28.6	30.5	794	1200	2382.0
2019-07-18T14:37:00	1007.9	30.8	11.1	13.4	1008.8	27.7	32.6	785	1200	2355.0
2019-07-18T14:57:00	1007.7	30.9	11.0	13.4	1008.6	28.1	31.1	774	1200	2322.0
2019-07-18T15:17:00	1007.6	31.2	10.8	13.4	1008.6	28.2	31.3	823	1200	2469.0
2019-07-18T15:37:00	1007.4	30.8	10.7	13.4	1008.4	27.6	31.2	766	1200	2298.0
2019-07-18T15:57:00	1007.3	30.8	10.7	13.4	1008.3	28.1	31.0	801	1200	2403.0
2019-07-18T16:17:00	1007.3	30.8	10.7	13.4	1008.2	26.5	32.6	841	1200	2523.0
2019-07-18T16:37:00	1007.2	30.3	10.6	13.4	1008.2	27.8	31.3	805	1200	2415.0
2019-07-18T16:57:00	1007.2	30.4	10.6	13.4	1008.1	27.4	32.7	768	1200	2304.0
2019-07-18T17:17:00	1007.2	30.1	10.4	13.1	1008.1	25.4	35.6	822	1200	2466.0
2019-07-18T17:37:00	1006.9	29.0	10.5	12.9	1008.2	24.9	38.5	807	1200	2421.0
2019-07-18T17:57:00	1006.6	28.3	10.4	12.8	1008.2	24.9	39.5	791	1200	2373.0
2019-07-18T18:17:00	1006.5	27.6	10.4	12.7	1008.1	24.4	40.9	807	1200	2421.0
2019-07-18T18:37:00	1006.4	27.0	10.4	12.7	1008.1	23.0	46.7	817	1200	2451.0
2019-07-18T18:57:00	1006.3	26.3	10.3	12.7	1008.2	21.9	47.9	827	1200	2481.0
2019-07-18T19:17:00	1006.3	25.4	10.3	12.7	1008.3	20.8	53.1	787	1200	2361.0
2019-07-18T19:37:00	1006.3	24.7	10.3	12.7	1008.4	20.6	56.8	811	1200	2433.0
2019-07-18T19:57:00	1006.2	24.0	10.2	12.7	1008.5	19.9	58.1	812	1200	2436.0
2019-07-18T20:17:00	1006.0	23.4	10.2	12.7	1008.4	19.6	61.5	814	1200	2442.0
2019-07-18T20:37:00	1005.8	22.9	10.2	12.7	1008.2	19.1	63.9	837	1200	2511.0
2019-07-18T20:57:00	1005.7	22.4	10.1	12.6	1008.1	18.4	65.8	777	1200	2331.0
2019-07-18T21:17:00	1005.6	21.8	10.1	12.6	1008.3	17.7	69.1	817	1200	2451.0
2019-07-18T21:37:00	1005.5	21.2	10.0	12.6	1008.4	17.1	70.3	841	1200	2523.0
2019-07-18T21:57:00	1005.5	20.5	10.0	12.6	1008.5	16.7	72.5	795	1200	2385.0
