# See crns_meta.json and crns_attributes.txt for further details.
datetime	press1	temp1	relhum1	volt	counts_crs1000	nsecs_crs1000	counts_labc	nsecs_labc	counts_bare	nsecs_bare	cph_filtered
2019-08-30T09:32:00	1020.4	29.9	37.5	13.7	268	1200	1092	1200	nan	nan	3276.0
2019-08-30T09:52:00	1020.4	30.2	34.8	13.7	244	1199	1151	1200	nan	nan	3453.0
2019-08-30T10:12:00	1020.2	30.7	32.7	13.7	280	1200	1116	1200	nan	nan	3348.0
2019-08-30T10:32:00	1020.2	30.8	31.3	13.7	265	1200	1105	1200	nan	nan	3315.0
2019-08-30T10:52:00	1020.0	31.1	30.7	13.7	254	1200	1116	1200	nan	nan	3348.0
2019-08-30T11:12:00	1020.0	32.1	29.3	13.6	241	1200	1144	1200	nan	nan	3432.0
2019-08-30T11:32:00	1019.8	33.4	28.1	13.6	253	1200	1165	1200	nan	nan	3495.0
2019-08-30T11:52:00	1019.7	34.4	26.9	13.2	254	1200	1154	1200	nan	nan	3462.0
2019-08-30T12:12:00	1019.7	35.5	26.0	13.1	242	1200	1185	1199	nan	nan	3558.0
2019-08-30T12:32:00	1019.6	36.9	24.8	13.1	260	1200	1162	1200	nan	nan	3486.0
2019-08-30T12:52:00	1019.3	38.0	24.5	13.1	262	1200	1089	1200	nan	nan	3267.0
2019-08-30T13:12:00	1019.2	38.3	24.3	13.1	246	1200	1244	1200	nan	nan	3732.0
2019-08-30T13:32:00	1019.1	38.4	23.9	13.1	287	1200	1156	1200	nan	nan	3468.0
2019-08-30T13:52:00	1019.0	38.2	23.7	13.1	243	1199	1255	1200	nan	nan	3765.0
2019-08-30T14:12:00	1018.7	37.4	23.3	13.1	238	1200	1161	1200	nan	nan	3483.0
2019-08-30T14:32:00	1018.6	37.0	23.3	13.1	263	1200	1175	1200	nan	nan	3525.0
2019-08-30T14:52:00	1018.4	36.8	23.0	13.1	237	1200	1229	1200	nan	nan	3687.0
2019-08-30T15:12:00	1018.3	37.3	22.8	13.1	272	1200	1227	1200	nan	nan	3681.0
2019-08-30T15:32:00	1018.1	37.6	22.4	13.1	265	1200	1216	1200	nan	nan	3648.0
2019-08-30T15:52:00	1018.1	37.8	22.1	13.1	276	1200	1190	1200	nan	nan	3570.0
2019-08-30T16:12:00	1018.0	37.5	22.1	13.1	290	1200	1159	1200	nan	nan	3477.0
2019-08-30T16:32:00	1017.9	37.1	21.9	13.1	269	1200	1193	1200	nan	nan	3579.0
