# See crns_meta.json and crns_attributes.txt for further details.
datetime	press1	temp1	relhum1	volt	press4	counts1	nsecs1	cph_filtered
2019-09-19T10:38:56	1022.6	20.0	53.6	13.6	1022.6	280	1135	888.1
2019-09-19T10:58:56	1022.6	21.2	51.6	13.6	1022.6	285	1200	855.0
2019-09-19T11:18:56	1022.6	22.0	49.9	13.6	1022.6	258	1199	774.6
2019-09-19T11:38:56	1022.7	22.3	48.1	13.5	1022.7	281	1200	843.0
2019-09-19T11:58:56	1022.7	23.1	46.3	13.5	1022.7	273	1200	819.0
2019-09-19T12:18:56	1022.7	23.6	44.4	13.5	1022.7	294	1200	882.0
2019-09-19T12:38:56	1022.7	23.6	42.8	13.5	1022.7	273	1200	819.0
2019-09-19T12:58:56	1022.6	24.1	41.8	13.5	1022.6	313	1200	939.0
2019-09-19T13:18:56	1022.5	24.8	40.3	13.5	1022.5	268	1200	804.0
2019-09-19T13:38:56	1022.5	24.9	39.1	13.5	1022.5	296	1200	888.0
2019-09-19T13:58:56	1022.4	24.8	38.0	13.5	1022.4	290	1200	870.0
2019-09-19T14:18:56	1022.2	24.4	37.3	13.5	1022.2	275	1200	825.0
2019-09-19T14:38:56	1022.1	24.4	36.8	13.5	1022.1	266	1200	798.0
2019-09-19T14:58:56	1022.0	24.4	36.3	13.5	1022.0	254	1199	762.6
2019-09-19T15:18:56	1022.0	24.4	35.7	13.5	1022.0	270	1200	810.0
2019-09-19T15:38:56	1022.0	23.8	35.3	13.5	1022.0	302	1200	906.0
2019-09-19T15:58:56	1022.2	23.1	35.2	13.5	1022.2	286	1200	858.0
2019-09-19T16:18:56	1022.3	22.5	35.3	13.6	1022.3	300	1200	900.0
2019-09-19T16:38:56	1022.5	22.0	35.6	13.6	1022.5	295	1200	885.0
2019-09-19T16:58:56	1022.5	21.6	35.8	13.6	1022.5	309	1200	927.0
2019-09-19T17:18:56	1022.7	20.7	36.1	13.2	1022.7	274	1200	822.0
2019-09-19T17:38:56	1022.9	19.5	36.4	13.0	1022.9	298	1200	894.0
2019-09-19T17:58:56	1023.1	18.1	36.8	13.0	1023.1	306	1200	918.0
2019-09-19T18:18:56	1023.2	16.9	37.3	13.0	1023.2	264	1200	792.0
2019-09-19T18:38:56	1023.4	15.8	37.9	12.9	1023.4	324	1200	972.0
2019-09-19T18:58:56	1023.5	14.7	38.6	12.9	1023.5	262	1199	786.7
2019-09-19T19:18:56	1023.7	13.6	39.2	12.9	1023.7	277	1200	831.0
2019-09-19T19:38:56	1023.8	12.6	39.8	12.9	1023.8	264	1200	792.0
2019-09-19T19:58:56	1024.0	11.8	40.6	12.9	1024.0	297	1200	891.0
2019-09-19T20:18:56	1024.2	11.0	41.3	12.8	1024.2	267	1200	801.0
2019-09-19T20:38:56	1024.3	10.3	42.2	12.8	1024.3	276	1200	828.0
2019-09-19T20:58:56	1024.4	9.7	43.0	12.8	1024.4	321	1200	963.0
2019-09-19T21:18:56	1024.5	9.1	43.7	12.8	1024.5	296	1200	888.0
2019-09-19T21:38:56	1024.6	8.7	44.6	12.8	1024.6	280	1200	840.0
2019-09-19T21:58:56	1024.7	8.3	45.4	12.8	1024.7	298	1200	894.0
2019-09-19T22:18:56	1024.6	7.9	46.1	12.8	1024.6	283	1200	849.0
2019-09-19T22:38:56	1024.5	7.5	46.7	12.8	1024.5	272	1200	816.0
2019-09-19T22:58:56	1024.6	7.2	47.3	12.8	1024.6	281	1200	843.0
2019-09-19T23:18:56	1024.5	7.0	48.0	12.8	1024.5	269	1200	807.0
2019-09-19T23:38:56	1024.6	6.8	48.6	12.8	1024.6	291	1200	873.0
2019-09-19T23:58:56	1024.4	6.6	49.1	12.8	1024.4	302	1199	906.8
2019-09-20T00:18:56	1024.4	6.4	49.5	12.8	1024.4	277	1200	831.0
2019-09-20T00:38:56	1024.3	6.2	50.0	12.8	1024.3	261	1200	783.0
2019-09-20T00:58:56	1024.5	6.0	50.5	12.8	1024.5	315	1200	945.0
2019-09-20T01:18:56	1024.5	5.9	51.1	12.8	1024.5	274	1200	822.0
2019-09-20T01:38:56	1024.3	5.8	51.6	12.8	1024.3	320	1200	960.0
2019-09-20T01:58:56	1024.4	5.7	52.0	12.8	1024.4	289	1200	867.0
2019-09-20T02:18:56	1024.5	5.6	52.3	12.8	1024.5	274	1200	822.0
2019-09-20T02:38:56	1024.3	5.5	52.7	12.8	1024.3	263	1200	789.0
2019-09-20T02:58:56	1024.2	5.5	53.1	12.8	1024.2	267	1200	801.0
2019-09-20T03:18:56	1024.2	5.4	53.4	12.8	1024.2	265	1200	795.0
2019-09-20T03:38:56	1024.3	5.4	53.9	12.8	1024.3	258	1200	774.0
2019-09-20T03:58:56	1024.2	5.4	54.2	12.8	1024.2	273	1200	819.0
2019-09-20T04:18:56	1024.1	5.3	54.4	12.8	1024.1	277	1200	831.0
2019-09-20T04:38:56	1024.1	5.3	54.7	12.8	1024.1	253	1200	759.0
2019-09-20T04:58:56	1024.1	5.3	55.4	12.8	1024.1	276	1200	828.0
2019-09-20T05:18:56	1024.2	5.4	56.2	12.8	1024.2	246	1199	738.6
2019-09-20T05:38:56	1024.3	5.5	56.9	12.9	1024.3	270	1200	810.0
2019-09-20T05:58:56	1024.1	5.8	57.7	13.3	1024.1	295	1200	885.0
2019-09-20T06:18:56	1024.3	6.5	58.8	14.1	1024.3	287	1200	861.0
2019-09-20T06:38:56	1024.3	7.5	59.8	14.8	1024.3	279	1200	837.0
2019-09-20T06:58:56	1024.3	8.6	60.7	14.7	1024.3	284	1200	852.0
2019-09-20T07:18:56	1024.4	9.9	61.7	14.7	1024.4	286	1200	858.0
2019-09-20T07:38:56	1024.5	11.3	62.6	14.6	1024.5	288	1200	864.0
2019-09-20T07:58:56	1024.5	12.9	62.5	14.6	1024.5	285	1200	855.0
2019-09-20T08:18:56	1024.4	14.3	61.9	14.5	1024.4	269	1200	807.0
2019-09-20T08:38:56	1024.3	15.1	61.0	13.8	1024.3	317	1200	951.0
2019-09-20T08:58:56	1024.4	15.6	60.4	13.8	1024.4	271	1200	813.0
2019-09-20T09:18:56	1024.6	16.2	60.0	13.8	1024.6	260	1200	780.0
