# See crns_meta.json and crns_attributes.txt for further details.
datetime	press1	temp1	relhum1	volt	counts1	nsecs1	cph_filtered
2019-07-31T12:56:00	1012.2	25.7	46.9	14.8	366	1102	nan
2019-07-31T13:16:00	1011.9	25.6	36.2	14.3	248	1200	744.0
2019-07-31T13:40:57	1011.7	24.8	31.3	14.5	5	40	nan
2019-07-31T14:00:00	1011.6	25.1	28.5	14.4	247	1142	778.6
2019-07-31T14:20:00	1011.4	26.4	26.8	14.0	254	1200	762.0
2019-07-31T14:40:00	1011.5	28.0	25.6	15.5	260	1200	780.0
2019-07-31T15:00:00	1011.5	28.2	24.7	13.9	245	1200	735.0
2019-07-31T15:20:00	1011.5	28.0	23.8	13.3	258	1200	774.0
2019-07-31T15:40:00	1011.5	27.7	22.8	14.0	225	1200	675.0
2019-08-06T08:39:56	1007.8	30.2	39.7	15.7	7	39	nan
2019-08-06T08:46:30	1007.7	30.5	39.6	13.7	11	40	nan
2019-08-06T09:05:00	1007.4	31.4	33.9	13.7	225	1072	755.6
2019-08-06T09:25:00	1007.4	32.6	28.1	13.7	277	1200	831.0
2019-08-06T09:45:00	1007.4	33.4	25.9	13.3	247	1200	741.0
2019-08-06T10:05:00	1007.3	34.1	24.7	13.2	257	1200	771.0
2019-08-06T10:19:40	1007.4	33.4	33.5	13.2	7	40	nan
2019-08-06T10:38:00	1007.2	33.9	29.7	13.2	254	1080	846.7
2019-08-06T10:58:00	1007.0	34.2	26.4	13.2	257	1200	771.0
2019-08-06T11:18:00	1006.9	34.4	25.1	13.2	235	1200	705.0
2019-08-06T11:38:00	1006.7	34.7	24.2	13.2	245	1200	735.0
2019-08-06T11:58:00	1006.7	35.1	23.7	13.2	261	1200	783.0
2019-08-06T12:18:00	1006.4	35.0	23.4	13.2	264	1200	792.0
2019-08-06T12:38:00	1006.8	34.3	23.4	13.2	243	1199	729.6
2019-08-06T12:58:00	1006.8	32.3	23.8	13.3	226	1200	678.0
2019-08-06T13:18:00	1006.4	31.4	24.5	13.3	288	1200	864.0
2019-08-06T13:38:00	1006.3	30.6	25.2	13.3	256	1200	768.0
2019-08-06T13:58:00	1006.0	30.9	25.3	13.3	256	1200	768.0
2019-08-06T14:18:00	1005.9	31.2	25.1	13.3	265	1200	795.0
2019-08-06T14:38:00	1005.8	31.4	24.6	13.3	265	1200	795.0
2019-08-06T14:58:00	1005.8	31.9	24.6	13.3	248	1200	744.0
2019-08-06T15:18:00	1005.7	31.6	24.1	13.3	270	1200	810.0
