# See crns_meta.json and crns_attributes.txt for further details.
datetime	press1	temp1	relhum1	volt	press4	counts_labc	nsecs_labc	cph_filtered
2020-07-14T13:12:00	1007.7	31.5	46.1	13.4	1009.5	1307	1200	3921.0
2020-07-14T13:32:00	1007.5	32.0	47.5	13.3	1009.4	1256	1200	3768.0
2020-07-14T13:52:00	1007.3	32.4	48.0	13.3	1009.2	1278	1200	3834.0
2020-07-14T14:12:00	1007.1	32.7	48.4	13.3	1008.9	1330	1200	3990.0
2020-07-14T14:32:00	1007.0	32.8	48.6	13.3	1008.8	1256	1200	3768.0
2020-07-14T14:52:00	1006.8	32.5	49.1	13.3	1008.6	1357	1200	4071.0
2020-07-14T15:12:00	1006.6	32.1	49.1	13.3	1008.5	1307	1200	3921.0
2020-07-14T15:32:00	1006.5	31.5	49.8	13.3	1008.4	1295	1200	3885.0
2020-07-14T15:52:00	1006.3	31.2	50.7	13.3	1008.1	1335	1200	4005.0
2020-07-14T16:12:00	1006.2	31.2	50.8	13.4	1008.1	1293	1200	3879.0
2020-07-14T16:32:00	1006.0	30.9	50.8	13.4	1007.9	1340	1200	4020.0
2020-07-14T16:52:00	1005.9	30.7	51.2	13.4	1007.7	1328	1200	3984.0
2020-07-14T17:12:00	1005.8	30.4	51.4	13.4	1007.7	1316	1200	3948.0
2020-07-14T17:32:00	1005.7	29.9	51.5	13.4	1007.5	1405	1200	4215.0
2020-07-14T17:52:00	1005.6	29.3	51.9	13.4	1007.6	1367	1200	4101.0
2020-07-14T18:12:00	1005.6	28.8	52.4	13.4	1007.5	1341	1200	4023.0
2020-07-14T18:32:00	1005.6	28.3	52.5	13.4	1007.5	1367	1200	4101.0
2020-07-14T18:52:00	1005.5	27.8	52.7	12.9	1007.5	1362	1200	4086.0
2020-07-14T19:12:00	1005.4	27.1	52.9	12.9	1007.3	1345	1200	4035.0
2020-07-14T19:32:00	1005.6	26.5	53.5	12.9	1007.5	1372	1200	4116.0
2020-07-14T19:52:00	1005.7	26.1	53.7	12.8	1007.5	1371	1200	4113.0
2020-07-14T20:12:00	1005.8	25.5	53.8	12.8	1007.4	1305	1200	3915.0
2020-07-14T20:32:00	1006.1	24.9	54.1	12.8	1008.0	1306	1200	3918.0
2020-07-14T20:52:00	1006.3	24.4	54.4	12.8	1008.2	1335	1200	4005.0
2020-07-14T21:12:00	1006.7	24.0	54.6	12.8	1008.6	1286	1200	3858.0
2020-07-14T21:32:00	1006.6	23.7	54.7	12.8	1008.5	1312	1200	3936.0
2020-07-14T21:52:00	1006.7	23.3	54.7	12.8	1008.6	1290	1200	3870.0
2020-07-14T22:12:00	1006.8	23.0	54.7	12.8	1008.6	1335	1200	4005.0
2020-07-14T22:32:00	1006.9	22.6	54.7	12.7	1008.7	1318	1200	3954.0
2020-07-14T22:52:00	1007.1	22.3	54.7	12.7	1009.0	1356	1200	4068.0
2020-07-14T23:12:00	1007.1	21.9	54.7	12.7	1009.0	1307	1200	3921.0
2020-07-14T23:32:00	1006.9	21.6	54.7	12.7	1008.8	1303	1200	3909.0
2020-07-14T23:52:00	1006.9	21.3	54.7	12.7	1008.8	1322	1200	3966.0
2020-07-15T00:12:00	1006.9	20.9	54.7	12.7	1008.7	1356	1200	4068.0
