# See crns_meta.json and crns_attributes.txt for further details.
datetime	press1	temp1	relhum1	volt	press4	temp_ext	relhum_ext	counts1	nsecs1	counts2	nsecs2	cph_filtered
2019-08-06T13:38:14	1004.2	31.8	43.1	14.0	1005.1	25.0	65.8	68	44	66	45	nan
2019-08-06T13:57:00	1004.1	31.6	37.7	14.1	1004.5	25.4	64.2	1514	1126	1538	1125	9757.7
2019-08-06T14:17:00	1003.9	30.4	35.2	14.0	1004.7	25.6	62.3	1585	1200	1617	1200	9606.0
2019-08-06T14:37:00	1003.8	29.9	33.8	14.0	1004.6	26.7	58.6	1634	1200	1443	1200	9231.0
2019-08-06T14:57:00	1003.8	29.8	32.8	14.0	1004.5	26.6	56.9	1601	1200	1639	1200	9720.0
2019-08-06T15:17:00	1003.6	29.4	32.4	14.1	1004.4	25.9	59.9	1681	1200	1650	1200	9993.0
2019-08-06T15:37:00	1003.3	29.1	32.0	14.1	1004.1	26.0	57.4	1663	1200	1660	1200	9969.0
2019-08-06T15:57:00	1003.1	28.9	31.6	14.1	1003.9	26.8	56.9	1632	1200	1663	1200	9885.0
2019-08-06T16:17:00	1003.0	28.8	31.2	14.1	1003.8	25.8	56.3	1627	1200	1612	1200	9717.0
2019-08-06T16:37:00	1002.7	28.4	31.1	13.7	1003.5	25.9	58.9	1555	1200	1641	1200	9588.0
2019-08-06T16:57:00	1002.9	28.0	31.0	13.7	1003.7	25.9	58.0	1656	1200	1592	1200	9744.0
2019-08-06T17:17:00	1003.0	27.6	30.8	13.7	1003.9	25.4	59.3	1569	1200	1649	1200	9654.0
2019-08-06T17:37:00	1003.0	27.3	30.6	13.7	1003.8	25.4	58.5	1625	1200	1642	1200	9801.0
2019-08-06T17:57:00	1003.1	27.0	30.5	13.5	1004.0	24.6	60.8	1692	1200	1645	1200	10011.0
2019-08-06T18:17:00	1003.1	26.3	30.4	13.2	1003.9	24.0	63.5	1616	1200	1589	1200	9615.0
2019-08-06T18:37:00	1003.1	25.6	30.3	13.1	1003.9	23.2	64.9	1646	1200	1625	1200	9813.0
2019-08-06T18:57:00	1003.3	24.8	30.4	13.1	1004.0	21.6	71.1	1599	1200	1633	1200	9696.0
2019-08-06T19:17:00	1003.2	23.8	30.4	13.1	1004.2	20.2	76.7	1591	1200	1567	1200	9474.0
2019-08-06T19:37:00	1003.0	22.8	30.5	13.1	1004.0	19.2	78.8	1639	1200	1641	1200	9840.0
2019-08-06T19:57:00	1002.9	21.8	30.5	13.1	1003.9	19.1	79.0	1571	1200	1653	1200	9672.0
2019-08-06T20:17:00	1002.8	21.3	30.4	13.0	1003.8	18.5	82.4	1626	1200	1621	1200	9741.0
2019-08-06T20:37:00	1002.9	20.8	30.3	13.0	1004.0	18.2	83.0	1716	1200	1611	1200	9981.0
2019-08-06T20:57:00	1002.9	20.3	30.1	13.0	1003.9	18.6	81.8	1661	1200	1626	1200	9861.0
2019-08-06T21:17:00	1002.9	20.1	29.9	13.0	1003.9	18.0	82.8	1670	1200	1604	1200	9822.0
2019-08-06T21:37:00	1003.0	19.8	29.7	13.0	1004.0	17.4	84.7	1691	1200	1577	1200	9804.0
2019-08-06T21:57:00	1003.4	19.4	29.6	13.0	1004.3	17.4	86.3	1652	1200	1628	1200	9840.0
2019-08-06T22:17:00	1003.1	19.2	29.5	12.9	1004.1	17.9	86.4	1663	1200	1722	1200	10155.0
2019-08-06T22:37:00	1003.0	19.0	29.3	12.9	1004.1	17.5	87.2	1687	1200	1659	1200	10038.0
2019-08-06T22:57:00	1003.0	18.9	29.1	12.9	1004.0	17.6	85.2	1602	1200	1629	1200	9693.0
2019-08-06T23:17:00	1002.9	18.7	29.0	12.9	1004.0	17.5	87.9	1594	1200	1611	1200	9615.0
2019-08-06T23:37:00	1002.8	18.4	28.9	12.9	1003.9	16.9	91.6	1664	1200	1672	1200	10008.0
2019-08-06T23:57:00	1002.8	18.1	28.8	12.9	1003.9	16.9	93.6	1569	1200	1619	1200	9564.0
2019-08-07T00:17:00	1002.8	18.0	28.7	12.9	1003.8	17.2	93.5	1650	1200	1636	1200	9858.0
2019-08-07T00:37:00	1002.7	18.0	28.5	12.9	1003.8	17.2	94.4	1629	1200	1611	1200	9720.0
2019-08-07T00:57:00	1002.6	18.0	28.4	12.9	1003.7	17.1	95.4	1676	1200	1623	1200	9897.0
2019-08-07T01:17:00	1002.4	18.0	28.2	12.9	1003.4	16.8	97.4	1721	1200	1621	1200	10026.0
2019-08-07T01:37:00	1002.1	17.9	28.3	12.9	1003.1	16.9	98.5	1658	1200	1524	1200	9546.0
2019-08-07T01:57:00	1002.0	17.7	28.5	12.9	1003.1	16.6	98.5	1697	1200	1664	1200	10083.0
2019-08-07T02:17:00	1001.9	17.6	28.4	12.9	1003.0	16.3	98.7	1775	1200	1618	1200	10179.0
2019-08-07T02:37:00	1001.9	17.5	28.1	12.9	1002.9	16.1	99.2	1671	1200	1717	1200	10164.0
2019-08-07T02:57:00	1001.7	17.5	27.9	12.9	1002.8	16.5	99.8	1653	1200	1675	1200	9984.0
2019-08-07T03:17:00	1001.5	17.6	27.8	12.9	1002.5	16.3	99.9	1715	1200	1669	1200	10152.0
2019-08-07T03:37:00	1001.7	17.6	27.7	12.9	1002.7	16.9	100.0	1704	1200	1682	1200	10158.0
2019-08-07T03:57:00	1001.7	17.7	27.5	12.9	1002.8	16.3	100.0	1648	1200	1661	1200	9927.0
2019-08-07T04:17:00	1001.7	17.6	27.4	12.9	1002.7	16.6	100.0	1666	1200	1721	1200	10161.0
2019-08-07T04:37:00	1001.6	17.7	27.2	13.0	1002.5	17.2	100.0	1656	1200	1646	1200	9906.0
2019-08-07T04:57:00	1001.6	18.1	27.1	13.1	1002.6	17.8	100.0	1664	1200	1712	1200	10128.0
2019-08-07T05:17:00	1001.5	18.5	27.0	13.3	1002.3	18.5	97.9	1629	1200	1692	1200	9963.0
2019-08-07T05:37:00	1001.8	18.9	26.9	13.9	1002.6	19.8	89.7	1695	1200	1685	1200	10140.0
2019-08-07T05:57:00	1001.8	19.6	26.6	13.8	1002.7	19.7	90.4	1674	1200	1650	1200	9972.0
2019-08-07T06:17:00	1001.9	20.2	26.4	14.3	1002.7	20.6	83.2	1668	1200	1629	1200	9891.0
2019-08-07T06:37:00	1001.8	21.0	26.2	14.3	1002.6	21.7	71.2	1616	1200	1680	1200	9888.0
2019-08-07T06:57:00	1001.6	21.6	25.9	14.3	1002.5	21.5	67.2	1588	1200	1556	1200	9432.0
2019-08-07T07:17:00	1001.5	22.4	25.8	14.2	1002.3	23.3	64.7	1669	1200	1585	1200	9762.0
2019-08-07T07:37:00	1001.5	23.5	25.6	14.2	1002.0	25.0	53.8	1622	1200	1612	1200	9702.0
2019-08-07T07:57:00	1001.5	24.4	25.3	14.2	1002.2	24.6	56.3	1627	1200	1627	1200	9762.0
2019-08-07T08:17:00	1001.4	25.7	25.0	13.7	1002.0	27.3	54.7	1661	1200	1714	1200	10125.0
2019-08-07T08:37:00	1001.4	27.6	24.4	13.7	1001.9	28.1	53.2	1684	1200	1631	1200	9945.0
2019-08-07T08:57:00	1001.5	28.2	24.5	13.7	1002.1	26.5	58.3	1648	1200	1633	1200	9843.0
2019-08-07T09:17:00	1001.5	28.0	24.9	13.7	1002.1	25.7	62.4	1631	1200	1646	1200	9831.0
2019-08-07T09:37:00	1001.6	27.5	25.3	13.7	1002.1	25.6	64.4	1640	1200	1631	1200	9813.0
2019-08-07T09:57:00	1001.4	27.2	25.6	13.7	1002.1	24.8	65.4	1690	1200	1616	1200	9918.0
