id	institution	type	lon	lat	sensitivity
1	UP	CRS 2000-B	12.958332	52.466406	1.19
2	UP	CRS 1000	12.956236	52.466162	0.452
4	UP	Lab-C	12.957875	52.467125	4.544
9	UFZ	Styx Neutronica	12.95753	52.465357	2.277
11	UP	Lab-C	12.959215	52.466434	4.754
12	UFZ	Styx Neutronica	12.958544	52.467575	1.834
13	UFZ	Styx Neutronica	12.959292	52.465705	2.165
21	GFZ	CRS 2000-B	12.957486	52.465838	1.132
22	GFZ	CRS 2000-B	12.958571	52.46557	1.161
26	UP	CRS 1000/Lab-C	12.957378	52.466454	2.04
27	UP	CRS 1000/Lab-C	12.956979	52.466838	2.024
28	UP	CRS 1000	12.958098	52.465226	0.459
30	UP	Lab-C	12.959304	52.465909	2.04
11a	UP	FINAPP3	12.959215	52.466434	0.672
11b	UFZ	Styx Neutronica	12.959215	52.466434	2.236
