date	CRNS_1	CRNS_2	CRNS_4	CRNS_9	CRNS_11	CRNS_12	CRNS_13	CRNS_21	CRNS_22	CRNS_26	CRNS_27	CRNS_28	CRNS_30
2019-07-25	0.061	na	na	na	na	na	na	0.054	0.077	na	na	na	na
2019-07-26	0.058	na	na	na	na	na	na	0.050	0.074	na	na	na	na
2019-07-27	0.057	na	na	na	na	na	na	0.044	0.070	na	na	na	na
2019-07-28	0.048	na	na	na	na	na	na	0.040	0.062	na	na	na	na
2019-07-29	0.050	na	na	na	na	na	na	0.039	0.066	na	na	na	na
2019-07-30	0.052	na	na	na	na	na	na	0.039	0.066	na	na	na	na
2019-07-31	0.064	na	na	na	na	na	na	0.055	0.084	na	na	na	na
2019-08-01	0.105	na	na	na	na	na	na	0.098	0.124	na	na	na	na
2019-08-02	0.089	na	na	na	na	na	na	0.078	0.106	na	na	na	na
2019-08-03	0.080	na	na	na	na	na	na	0.074	0.095	na	na	na	na
2019-08-04	0.078	na	na	na	na	na	na	0.067	0.093	na	na	na	na
2019-08-05	0.065	na	na	na	na	na	na	0.060	0.084	na	na	na	na
2019-08-06	0.065	0.107	na	na	na	na	na	0.053	0.076	na	na	na	na
2019-08-07	0.058	0.110	0.029	na	na	na	na	0.050	0.070	na	na	na	na
2019-08-08	0.054	0.113	0.028	na	na	na	na	0.048	0.074	na	na	na	na
2019-08-09	0.055	0.112	0.024	na	na	na	na	0.045	0.073	na	na	na	na
2019-08-10	0.055	0.097	0.021	na	na	na	na	0.040	0.073	na	na	na	na
2019-08-11	0.045	0.097	0.017	na	na	na	na	0.035	na	na	na	na	na
2019-08-12	0.044	0.097	0.016	na	na	na	na	0.037	na	na	na	na	na
2019-08-13	0.041	0.095	0.013	na	na	na	na	0.033	na	na	na	na	na
2019-08-14	0.038	0.083	0.012	na	na	na	na	0.030	na	na	na	na	na
2019-08-15	0.040	0.093	0.014	na	na	na	na	0.032	na	na	na	na	na
2019-08-16	0.038	0.089	0.012	na	na	na	na	0.034	na	na	na	na	na
2019-08-17	0.037	0.097	0.011	na	na	na	na	0.033	na	na	na	na	na
2019-08-18	0.061	0.120	0.033	na	na	na	na	0.056	na	na	na	na	na
2019-08-19	0.092	0.158	0.066	na	na	na	na	0.091	na	na	na	na	na
2019-08-20	0.083	0.137	0.052	na	na	na	na	0.076	na	na	na	na	na
2019-08-21	0.079	0.139	0.049	na	na	na	na	0.073	na	na	na	na	na
2019-08-22	0.071	0.125	0.043	na	na	na	na	0.063	na	na	na	na	na
2019-08-23	0.065	0.112	0.035	na	na	na	na	0.052	na	na	na	na	na
2019-08-24	0.056	0.110	0.029	na	na	na	na	0.051	na	na	na	na	na
2019-08-25	0.053	0.107	0.024	na	na	na	na	0.049	na	na	na	na	na
2019-08-26	0.050	0.102	0.020	na	na	na	na	0.040	na	0.053	na	na	na
2019-08-27	0.061	0.105	0.030	na	na	na	na	0.055	na	0.065	na	na	na
2019-08-28	0.110	0.167	0.074	na	na	na	na	0.111	0.122	0.122	na	na	na
2019-08-29	0.093	0.163	0.064	na	na	na	na	0.089	0.119	0.107	na	na	na
2019-08-30	0.077	0.146	0.053	na	na	na	na	0.079	0.103	0.094	0.093	na	na
2019-08-31	0.068	0.131	0.043	na	na	na	na	0.071	0.087	0.080	0.078	na	na
2019-09-01	0.060	0.128	0.036	na	na	na	na	0.058	0.083	0.073	0.071	na	na
2019-09-02	0.057	0.114	0.030	na	na	na	na	0.051	0.077	0.061	0.063	na	na
2019-09-03	0.050	0.118	0.026	na	na	na	na	0.046	0.069	0.060	0.057	na	na
2019-09-04	0.052	0.113	0.027	na	na	na	na	0.050	0.070	0.060	0.059	na	na
