datetime	theta15	theta25	theta35	theta50
2019-10-07T03:00:05Z	0.29	0.233	0.211	0.196
2019-10-07T03:20:05Z	0.289	0.232	0.208	0.196
2019-10-07T03:40:05Z	0.289	0.232	0.207	0.196
2019-10-07T04:00:05Z	0.288	0.232	0.207	0.196
2019-10-07T04:20:05Z	0.288	0.231	0.207	0.196
2019-10-07T04:40:05Z	0.287	0.231	0.205	0.196
2019-10-07T05:00:05Z	0.287	0.23	0.205	0.196
2019-10-07T05:20:05Z	0.286	0.23	0.205	0.196
2019-10-07T05:40:05Z	0.286	0.23	0.205	0.196
2019-10-07T06:00:05Z	0.286	0.23	0.205	0.196
2019-10-07T06:20:05Z	0.286	0.23	0.204	0.196
2019-10-07T06:40:05Z	0.285	0.23	0.204	0.196
2019-10-07T07:00:05Z	0.285	0.229	0.204	0.196
2019-10-07T07:20:05Z	0.285	0.229	0.204	0.196
2019-10-07T07:40:05Z	0.285	0.229	0.204	0.196
2019-10-07T08:00:05Z	0.284	0.229	0.203	0.193
2019-10-07T08:20:05Z	0.284	0.229	0.203	0.193
2019-10-07T08:40:05Z	0.284	0.229	0.203	0.193
2019-10-07T09:00:05Z	0.284	0.228	0.203	0.193
2019-10-07T09:20:05Z	0.283	0.228	0.203	0.193
2019-10-07T09:40:05Z	0.283	0.228	0.202	0.193
2019-10-07T10:00:05Z	0.283	0.228	0.202	0.193
2019-10-07T10:20:05Z	0.282	0.228	0.201	0.193
2019-10-07T10:40:05Z	0.282	0.228	0.201	0.193
2019-10-07T11:00:05Z	0.282	0.228	0.201	0.192
2019-10-07T11:20:05Z	0.281	0.228	0.201	0.192
2019-10-07T11:40:05Z	0.281	0.228	0.201	0.191
2019-10-07T12:00:05Z	0.281	0.228	0.201	0.191
2019-10-07T12:20:05Z	0.281	0.227	0.201	0.191
2019-10-07T12:40:05Z	0.28	0.227	0.201	0.191
2019-10-07T13:00:05Z	0.28	0.227	0.2	0.191
2019-10-07T13:20:05Z	0.28	0.227	0.2	0.191
2019-10-07T13:40:05Z	0.28	0.227	0.2	0.191
2019-10-07T14:00:05Z	0.279	0.227	0.2	0.191
2019-10-07T14:20:05Z	0.279	0.227	0.2	0.19
2019-10-07T14:40:05Z	0.279	0.226	0.2	0.19
2019-10-07T15:00:05Z	0.278	0.226	0.2	0.19
2019-10-07T15:20:05Z	0.278	0.226	0.2	0.19
2019-10-07T15:40:05Z	0.278	0.226	0.2	0.19
2019-10-07T16:00:05Z	0.277	0.226	0.2	0.19
2019-10-07T16:20:05Z	0.277	0.226	0.199	0.19
2019-10-07T16:40:05Z	0.277	0.226	0.199	0.19
2019-10-07T17:00:05Z	0.277	0.226	0.199	0.19
2019-10-07T17:20:05Z	0.277	0.226	0.199	0.19
2019-10-07T17:40:05Z	0.277	0.226	0.199	0.19
2019-10-07T18:00:05Z	0.276	0.226	0.199	0.19
2019-10-07T18:20:05Z	0.276	0.226	0.199	0.189
2019-10-07T18:40:05Z	0.276	0.225	0.199	0.189
2019-10-07T19:00:05Z	0.276	0.225	0.199	0.189
2019-10-07T19:20:05Z	0.276	0.225	0.199	0.189
2019-10-07T19:40:05Z	0.276	0.225	0.199	0.189
2019-10-07T20:00:05Z	0.276	0.225	0.199	0.189
2019-10-07T20:20:05Z	0.276	0.225	0.198	0.189
2019-10-07T20:40:05Z	0.276	0.225	0.198	0.189
2019-10-07T21:00:05Z	0.276	0.225	0.198	0.189
2019-10-07T21:20:05Z	0.276	0.225	0.198	0.189
2019-10-07T21:40:05Z	0.276	0.224	0.198	0.189
2019-10-07T22:00:05Z	0.276	0.224	0.198	0.189
2019-10-07T22:20:05Z	0.276	0.224	0.198	0.189
2019-10-07T22:40:05Z	0.275	0.224	0.198	0.189
2019-10-07T23:00:05Z	0.275	0.224	0.198	0.189
2019-10-07T23:20:05Z	0.275	0.224	0.198	0.189
2019-10-07T23:40:05Z	0.275	0.224	0.198	0.189
2019-10-08T00:00:05Z	0.275	0.224	0.197	0.189
2019-10-08T00:20:05Z	0.275	0.224	0.197	0.189
2019-10-08T00:40:05Z	0.275	0.224	0.197	0.188
2019-10-08T01:00:05Z	0.275	0.224	0.197	0.188
2019-10-08T01:20:05Z	0.275	0.224	0.197	0.188
2019-10-08T01:40:05Z	0.275	0.224	0.197	0.188
2019-10-08T02:00:05Z	0.274	0.224	0.197	0.188
2019-10-08T02:20:05Z	0.274	0.224	0.197	0.188
2019-10-08T02:40:05Z	0.274	0.224	0.197	0.188
2019-10-08T03:00:05Z	0.274	0.224	0.197	0.188
2019-10-08T03:20:05Z	0.274	0.224	0.197	0.188
2019-10-08T03:40:05Z	0.274	0.224	0.197	0.188
2019-10-08T04:00:05Z	0.274	0.223	0.197	0.188
2019-10-08T04:20:05Z	0.274	0.223	0.197	0.188
2019-10-08T04:40:05Z	0.273	0.223	0.197	0.188
2019-10-08T05:00:05Z	0.273	0.223	0.197	0.188
