datetime	theta10	theta20	theta30	theta40	theta60	theta100
2019-08-26T11:53:01Z	0.047	0.051	0.087	0.119	0.081	0.183
2019-08-26T11:55:44Z	0.047	0.051	0.087	0.119	0.081	0.183
2019-08-26T11:57:11Z	0.046	0.05	0.087	0.119	0.081	0.182
2019-08-26T12:17:20Z	0.045	0.049	0.086	0.119	0.082	0.182
2019-08-26T12:37:28Z	0.045	0.049	0.086	0.119	0.081	0.182
2019-08-26T12:57:36Z	0.046	0.049	0.087	0.119	0.081	0.182
2019-08-26T13:17:44Z	0.046	0.05	0.087	0.119	0.081	0.182
2019-08-26T13:37:52Z	0.046	0.05	0.087	0.119	0.081	0.182
2019-08-26T13:58:00Z	0.046	0.05	0.087	0.119	0.081	0.182
2019-08-26T14:18:08Z	0.046	0.05	0.087	0.119	0.081	0.182
2019-08-26T14:38:16Z	0.046	0.05	0.087	0.119	0.081	0.182
2019-08-26T14:58:24Z	0.045	0.05	0.087	0.119	0.081	0.182
2019-08-26T15:18:33Z	0.045	0.05	0.087	0.119	0.081	0.182
2019-08-26T15:38:41Z	0.046	0.05	0.087	0.119	0.081	0.182
2019-08-26T15:58:49Z	0.046	0.051	0.088	0.119	0.082	0.182
2019-08-26T16:18:57Z	0.046	0.051	0.088	0.119	0.082	0.182
2019-08-26T16:39:05Z	0.046	0.051	0.088	0.119	0.082	0.182
2019-08-26T16:59:13Z	0.046	0.051	0.088	0.119	0.082	0.182
2019-08-26T17:19:21Z	0.046	0.051	0.088	0.119	0.082	0.182
2019-08-26T17:39:29Z	0.046	0.051	0.088	0.119	0.082	0.182
2019-08-26T17:59:37Z	0.046	0.051	0.088	0.119	0.082	0.182
2019-08-26T18:19:45Z	0.046	0.051	0.088	0.119	0.082	0.182
2019-08-26T18:39:53Z	0.046	0.051	0.088	0.119	0.082	0.182
2019-08-26T19:00:02Z	0.046	0.051	0.088	0.119	0.082	0.182
2019-08-26T19:20:10Z	0.046	0.051	0.088	0.119	0.082	0.182
2019-08-26T19:40:18Z	0.046	0.052	0.088	0.12	0.082	0.183
2019-08-26T20:00:26Z	0.046	0.052	0.088	0.119	0.082	0.183
2019-08-26T20:20:34Z	0.046	0.051	0.088	0.119	0.082	0.183
2019-08-26T20:40:42Z	0.046	0.051	0.088	0.119	0.082	0.183
2019-08-26T21:00:50Z	0.046	0.051	0.088	0.119	0.082	0.183
2019-08-26T21:20:58Z	0.046	0.051	0.088	0.119	0.082	0.183
2019-08-26T21:41:06Z	0.046	0.051	0.088	0.119	0.082	0.183
2019-08-26T22:01:14Z	0.046	0.051	0.088	0.119	0.082	0.183
2019-08-26T22:21:22Z	0.046	0.051	0.088	0.119	0.082	0.183
2019-08-26T22:41:30Z	0.046	0.052	0.088	0.119	0.082	0.183
2019-08-26T23:01:38Z	0.046	0.051	0.088	0.119	0.082	0.183
2019-08-26T23:21:46Z	0.046	0.051	0.088	0.119	0.082	0.183
2019-08-26T23:41:54Z	0.046	0.051	0.088	0.119	0.082	0.183
2019-08-27T00:02:01Z	0.046	0.051	0.088	0.119	0.082	0.183
2019-08-27T00:22:09Z	0.046	0.051	0.088	0.119	0.082	0.183
2019-08-27T00:42:17Z	0.046	0.051	0.088	0.119	0.082	0.183
2019-08-27T01:02:25Z	0.046	0.051	0.088	0.119	0.082	0.183
2019-08-27T01:22:33Z	0.046	0.051	0.088	0.119	0.082	0.183
2019-08-27T01:42:41Z	0.046	0.051	0.088	0.119	0.082	0.183
2019-08-27T02:02:49Z	0.046	0.051	0.088	0.119	0.082	0.183
2019-08-27T02:22:57Z	0.046	0.051	0.088	0.119	0.082	0.183
2019-08-27T02:43:05Z	0.046	0.051	0.088	0.119	0.082	0.183
2019-08-27T03:03:13Z	0.046	0.051	0.088	0.119	0.082	0.183
2019-08-27T03:23:20Z	0.046	0.051	0.088	0.119	0.082	0.183
