datetime	theta10	theta20	theta30	theta40	theta60	theta100
2019-08-26T09:00:05Z	0.047	0.069	0.084	0.088	0.112	0.12
2019-08-26T09:20:05Z	0.05	0.07	0.084	0.088	0.112	0.121
2019-08-26T09:40:05Z	0.05	0.07	0.084	0.088	0.112	0.121
2019-08-26T10:00:05Z	0.05	0.07	0.084	0.088	0.111	0.121
2019-08-26T10:20:05Z	0.051	0.07	0.083	0.087	0.11	0.12
2019-08-26T10:40:05Z	0.051	0.07	0.083	0.087	0.11	0.12
2019-08-26T11:00:05Z	0.051	0.069	0.083	0.087	0.11	0.12
2019-08-26T11:20:05Z	0.051	0.069	0.083	0.087	0.11	0.12
2019-08-26T11:40:05Z	0.051	0.07	0.083	0.087	0.11	0.12
2019-08-26T12:00:05Z	0.051	0.07	0.084	0.087	0.11	0.12
2019-08-26T12:20:05Z	0.051	0.07	0.084	0.088	0.11	0.12
2019-08-26T12:40:05Z	0.051	0.07	0.083	0.088	0.11	0.12
2019-08-26T13:00:05Z	0.051	0.07	0.083	0.088	0.11	0.12
2019-08-26T13:20:05Z	0.051	0.07	0.084	0.088	0.11	0.12
2019-08-26T13:40:05Z	0.051	0.07	0.083	0.088	0.11	0.119
2019-08-26T14:00:05Z	0.051	0.07	0.083	0.088	0.11	0.119
2019-08-26T14:20:05Z	0.051	0.07	0.083	0.088	0.11	0.119
2019-08-26T14:40:05Z	0.051	0.07	0.084	0.088	0.11	0.119
2019-08-26T15:00:05Z	0.051	0.07	0.084	0.088	0.11	0.119
2019-08-26T15:20:05Z	0.051	0.07	0.084	0.088	0.11	0.119
2019-08-26T15:40:05Z	0.051	0.07	0.083	0.087	0.11	0.119
2019-08-26T16:00:05Z	0.05	0.07	0.084	0.088	0.11	0.119
2019-08-26T16:20:05Z	0.05	0.07	0.084	0.088	0.111	0.12
2019-08-26T16:40:05Z	0.05	0.07	0.084	0.088	0.111	0.12
2019-08-26T17:00:05Z	0.05	0.071	0.084	0.088	0.112	0.12
2019-08-26T17:20:05Z	0.05	0.07	0.084	0.088	0.111	0.12
2019-08-26T17:40:05Z	0.05	0.07	0.084	0.088	0.111	0.12
2019-08-26T18:00:05Z	0.05	0.07	0.084	0.088	0.112	0.12
2019-08-26T18:20:05Z	0.05	0.071	0.084	0.088	0.112	0.12
2019-08-26T18:40:05Z	0.05	0.07	0.084	0.088	0.112	0.12
2019-08-26T19:00:05Z	0.05	0.07	0.084	0.088	0.112	0.12
2019-08-26T19:20:05Z	0.049	0.071	0.084	0.089	0.112	0.12
2019-08-26T19:40:05Z	0.049	0.071	0.084	0.088	0.112	0.12
2019-08-26T20:00:05Z	0.049	0.071	0.084	0.089	0.112	0.12
2019-08-26T20:20:05Z	0.049	0.07	0.084	0.088	0.112	0.12
2019-08-26T20:40:05Z	0.049	0.07	0.084	0.088	0.112	0.12
2019-08-26T21:00:05Z	0.049	0.071	0.084	0.088	0.112	0.12
2019-08-26T21:20:05Z	0.049	0.071	0.084	0.088	0.112	0.119
2019-08-26T21:40:05Z	0.049	0.07	0.084	0.088	0.112	0.119
2019-08-26T22:00:05Z	0.049	0.071	0.084	0.089	0.112	0.12
2019-08-26T22:20:05Z	0.049	0.071	0.085	0.089	0.113	0.12
2019-08-26T22:40:05Z	0.049	0.071	0.085	0.089	0.112	0.12
2019-08-26T23:00:05Z	0.05	0.072	0.086	0.09	0.113	0.121
2019-08-26T23:20:05Z	0.049	0.072	0.086	0.09	0.113	0.121
2019-08-26T23:40:05Z	0.049	0.071	0.086	0.09	0.113	0.121
2019-08-27T00:00:05Z	0.049	0.072	0.086	0.09	0.113	0.121
2019-08-27T00:20:05Z	0.049	0.071	0.086	0.09	0.113	0.121
2019-08-27T00:40:05Z	0.049	0.071	0.085	0.09	0.113	0.121
2019-08-27T01:00:05Z	0.049	0.072	0.085	0.09	0.113	0.121
2019-08-27T01:20:05Z	0.049	0.071	0.085	0.09	0.113	0.121
2019-08-27T01:40:05Z	0.049	0.072	0.086	0.09	0.114	0.121
2019-08-27T02:00:05Z	0.049	0.072	0.086	0.09	0.113	0.121
2019-08-27T02:20:05Z	0.049	0.072	0.086	0.09	0.114	0.121
2019-08-27T02:40:05Z	0.049	0.072	0.086	0.091	0.114	0.122
2019-08-27T03:00:05Z	0.049	0.072	0.086	0.091	0.114	0.121
2019-08-27T03:20:05Z	0.049	0.072	0.086	0.091	0.114	0.122
2019-08-27T03:40:05Z	0.049	0.072	0.086	0.091	0.114	0.121
2019-08-27T04:00:05Z	0.049	0.072	0.086	0.091	0.114	0.121
2019-08-27T04:20:05Z	0.049	0.072	0.086	0.09	0.114	0.121
2019-08-27T04:40:05Z	0.049	0.072	0.086	0.091	0.114	0.121
2019-08-27T05:00:05Z	0.05	0.071	0.086	0.09	0.113	0.121
2019-08-27T05:20:05Z	0.05	0.071	0.085	0.09	0.113	0.121
2019-08-27T05:40:05Z	0.05	0.07	0.084	0.089	0.112	0.119
2019-08-27T06:00:05Z	0.05	0.07	0.084	0.089	0.112	0.119
2019-08-27T06:20:05Z	0.051	0.07	0.084	0.089	0.112	0.119
2019-08-27T06:40:05Z	0.05	0.07	0.084	0.088	0.112	0.119
2019-08-27T07:00:05Z	0.051	0.07	0.084	0.089	0.112	0.119
2019-08-27T07:20:05Z	0.051	0.07	0.084	0.088	0.112	0.119
2019-08-27T07:40:05Z	0.051	0.07	0.084	0.088	0.112	0.119
2019-08-27T08:00:05Z	0.051	0.07	0.084	0.088	0.112	0.119
2019-08-27T08:20:05Z	0.051	0.07	0.084	0.088	0.111	0.119
2019-08-27T08:40:05Z	0.051	0.069	0.083	0.088	0.11	0.118
2019-08-27T09:00:05Z	0.051	0.07	0.083	0.088	0.11	0.118
2019-08-27T09:20:05Z	0.051	0.07	0.083	0.088	0.11	0.118
2019-08-27T09:40:05Z	0.052	0.07	0.083	0.087	0.109	0.118
2019-08-27T10:00:05Z	0.052	0.07	0.082	0.087	0.109	0.117
2019-08-27T10:20:05Z	0.053	0.07	0.083	0.087	0.109	0.117
2019-08-27T10:40:05Z	0.053	0.07	0.083	0.087	0.109	0.117
2019-08-27T11:00:05Z	0.053	0.07	0.083	0.087	0.109	0.117
2019-08-27T11:20:05Z	0.053	0.07	0.083	0.087	0.109	0.118
2019-08-27T11:40:05Z	0.053	0.07	0.083	0.087	0.109	0.118
2019-08-27T12:00:05Z	0.053	0.07	0.083	0.088	0.11	0.118
2019-08-27T12:20:05Z	0.053	0.07	0.083	0.088	0.109	0.118
2019-08-27T12:40:05Z	0.057	0.07	0.083	0.088	0.11	0.118
