datetime	theta10	theta20	theta30	theta40
2019-09-12T12:20:02Z	0.133	0.101	0.048	0.059
2019-09-12T12:40:03Z	0.133	0.101	0.048	0.059
2019-09-12T13:00:03Z	0.133	0.102	0.048	0.059
2019-09-12T13:20:02Z	0.133	0.102	0.048	0.059
2019-09-12T13:40:02Z	0.133	0.102	0.048	0.059
2019-09-12T14:00:03Z	0.133	0.102	0.049	0.059
2019-09-12T14:20:03Z	0.133	0.102	0.049	0.059
2019-09-12T14:40:03Z	0.133	0.102	0.049	0.059
2019-09-12T15:00:02Z	0.133	0.102	0.049	0.059
2019-09-12T15:20:02Z	0.133	0.102	0.049	0.059
2019-09-12T15:40:03Z	0.133	0.102	0.049	0.059
2019-09-12T16:00:03Z	0.133	0.102	0.049	0.059
2019-09-12T16:20:04Z	0.133	0.102	0.049	0.059
2019-09-12T16:40:02Z	0.133	0.103	0.05	0.059
2019-09-12T17:00:02Z	0.133	0.103	0.05	0.06
2019-09-12T17:20:03Z	0.133	0.103	0.05	0.06
2019-09-12T17:40:03Z	0.134	0.103	0.05	0.06
2019-09-12T18:00:03Z	0.134	0.103	0.05	0.06
2019-09-12T18:20:02Z	0.134	0.103	0.05	0.06
2019-09-12T18:40:02Z	0.134	0.103	0.051	0.06
2019-09-12T19:00:02Z	0.134	0.103	0.051	0.06
2019-09-12T19:20:03Z	0.134	0.103	0.051	0.06
2019-09-12T19:40:03Z	0.134	0.103	0.051	0.06
2019-09-12T20:00:04Z	0.134	0.104	0.051	0.06
2019-09-12T20:20:02Z	0.134	0.104	0.051	0.06
2019-09-12T20:40:02Z	0.134	0.104	0.051	0.06
2019-09-12T21:00:03Z	0.134	0.104	0.051	0.06
2019-09-12T21:20:03Z	0.134	0.104	0.051	0.06
2019-09-12T21:40:03Z	0.134	0.104	0.051	0.06
2019-09-12T22:00:03Z	0.134	0.104	0.051	0.06
2019-09-12T22:20:02Z	0.134	0.104	0.052	0.06
2019-09-12T22:40:02Z	0.134	0.104	0.052	0.06
2019-09-12T23:00:02Z	0.134	0.104	0.052	0.06
2019-09-12T23:20:03Z	0.134	0.104	0.052	0.06
2019-09-12T23:40:03Z	0.134	0.104	0.052	0.06
2019-09-13T00:00:03Z	0.134	0.104	0.052	0.06
2019-09-13T00:20:02Z	0.134	0.104	0.052	0.06
2019-09-13T00:40:02Z	0.134	0.104	0.052	0.06
2019-09-13T01:00:02Z	0.134	0.104	0.052	0.06
2019-09-13T01:20:02Z	0.134	0.104	0.052	0.06
2019-09-13T01:40:03Z	0.134	0.104	0.052	0.06
2019-09-13T02:00:03Z	0.134	0.104	0.052	0.06
2019-09-13T02:20:03Z	0.134	0.104	0.052	0.06
2019-09-13T02:40:02Z	0.134	0.104	0.052	0.06
2019-09-13T03:00:02Z	0.134	0.104	0.052	0.06
2019-09-13T03:20:02Z	0.134	0.104	0.052	0.06
2019-09-13T03:40:03Z	0.134	0.104	0.052	0.06
2019-09-13T04:00:03Z	0.134	0.104	0.052	0.06
2019-09-13T04:20:03Z	0.134	0.104	0.052	0.06
2019-09-13T04:40:03Z	0.134	0.104	0.052	0.06
2019-09-13T05:00:02Z	0.134	0.104	0.052	0.06
2019-09-13T05:20:02Z	0.134	0.104	0.053	0.06
2019-09-13T05:40:02Z	0.134	0.104	0.052	0.06
2019-09-13T06:00:02Z	0.134	0.104	0.053	0.06
2019-09-13T06:20:03Z	0.134	0.104	0.053	0.06
2019-09-13T06:40:03Z	0.134	0.104	0.053	0.06
2019-09-13T07:00:04Z	0.134	0.104	0.053	0.06
2019-09-13T07:19:57Z	0.134	0.104	0.053	0.06
2019-09-13T07:20:21Z	0.134	0.104	0.053	0.059
2019-09-13T07:40:02Z	0.134	0.104	0.052	0.059
2019-09-13T08:00:02Z	0.134	0.104	0.052	0.059
2019-09-13T08:20:02Z	0.134	0.104	0.052	0.059
2019-09-13T08:40:03Z	0.134	0.104	0.052	0.059
2019-09-13T09:00:03Z	0.133	0.104	0.052	0.059
2019-09-13T09:20:04Z	0.133	0.104	0.052	0.059
2019-09-13T09:40:02Z	0.133	0.104	0.053	0.059
2019-09-13T10:00:02Z	0.133	0.103	0.052	0.058
2019-09-13T10:20:03Z	0.133	0.104	0.052	0.058
2019-09-13T10:40:03Z	0.133	0.104	0.053	0.058
2019-09-13T11:00:04Z	0.133	0.104	0.052	0.058
2019-09-13T11:20:02Z	0.132	0.103	0.053	0.058
2019-09-13T11:40:02Z	0.133	0.104	0.053	0.059
2019-09-13T12:00:03Z	0.133	0.104	0.053	0.059
2019-09-13T12:20:03Z	0.133	0.104	0.053	0.059
2019-09-13T12:40:02Z	0.133	0.104	0.053	0.059
2019-09-13T13:00:02Z	0.132	0.104	0.053	0.059
2019-09-13T13:20:02Z	0.132	0.104	0.053	0.059
2019-09-13T13:40:03Z	0.132	0.104	0.053	0.059
2019-09-13T14:00:03Z	0.132	0.104	0.053	0.059
2019-09-13T14:20:04Z	0.132	0.104	0.054	0.059
2019-09-13T14:40:02Z	0.132	0.104	0.054	0.059
2019-09-13T15:00:02Z	0.132	0.104	0.054	0.059
2019-09-13T15:20:03Z	0.132	0.104	0.054	0.059
2019-09-13T15:40:03Z	0.132	0.104	0.054	0.059
2019-09-13T16:00:04Z	0.132	0.104	0.054	0.059
2019-09-13T16:20:02Z	0.132	0.104	0.054	0.059
2019-09-13T16:40:02Z	0.132	0.104	0.054	0.059
2019-09-13T17:00:03Z	0.132	0.104	0.054	0.059
2019-09-13T17:20:03Z	0.132	0.104	0.054	0.059
2019-09-13T17:40:03Z	0.132	0.104	0.055	0.059
2019-09-13T18:00:04Z	0.132	0.104	0.055	0.059
2019-09-13T18:20:02Z	0.133	0.104	0.055	0.059
2019-09-13T18:40:02Z	0.133	0.104	0.055	0.059
2019-09-13T19:00:02Z	0.133	0.104	0.055	0.059
2019-09-13T19:20:03Z	0.133	0.104	0.055	0.059
2019-09-13T19:40:03Z	0.133	0.104	0.055	0.059
2019-09-13T20:00:03Z	0.133	0.104	0.055	0.059
2019-09-13T20:20:03Z	0.133	0.104	0.055	0.06
2019-09-13T20:40:02Z	0.133	0.104	0.055	0.059
2019-09-13T21:00:02Z	0.133	0.104	0.055	0.059
2019-09-13T21:20:02Z	0.133	0.104	0.055	0.059
2019-09-13T21:40:03Z	0.133	0.104	0.055	0.06
2019-09-13T22:00:03Z	0.133	0.104	0.056	0.059
2019-09-13T22:20:03Z	0.133	0.104	0.056	0.06
2019-09-13T22:40:03Z	0.133	0.104	0.056	0.059
2019-09-13T23:00:03Z	0.133	0.104	0.056	0.06
2019-09-13T23:20:02Z	0.133	0.104	0.056	0.06
2019-09-13T23:40:02Z	0.133	0.104	0.056	0.059
2019-09-14T00:00:02Z	0.133	0.104	0.056	0.059
2019-09-14T00:20:02Z	0.134	0.104	0.056	0.06
2019-09-14T00:40:02Z	0.134	0.104	0.056	0.059
2019-09-14T01:00:03Z	0.134	0.104	0.056	0.059
2019-09-14T01:20:03Z	0.134	0.104	0.056	0.06
2019-09-14T01:40:03Z	0.134	0.104	0.056	0.06
2019-09-14T02:00:03Z	0.134	0.104	0.056	0.06
2019-09-14T02:20:01Z	0.134	0.104	0.056	0.06
2019-09-14T02:40:02Z	0.134	0.104	0.056	0.059
2019-09-14T03:00:02Z	0.134	0.104	0.056	0.059
