datetime	theta9	theta11	theta25	theta45
2019-07-01T00:00:00Z	0.072	0.041	0.097	0.096
2019-07-01T00:15:00Z	0.079	0.042	0.097	0.092
2019-07-01T00:30:00Z	0.085	0.045	0.095	0.095
2019-07-01T00:45:00Z	0.088	0.036	0.097	0.095
2019-07-01T01:00:00Z	0.055	0.046	0.096	0.091
2019-07-01T01:15:00Z	0.088	0.043	0.099	0.093
2019-07-01T01:30:00Z	0.097	0.043	0.098	0.094
2019-07-01T01:45:00Z	0.072	0.036	0.096	0.096
2019-07-01T02:00:00Z	0.088	0.044	0.098	0.093
2019-07-01T02:15:00Z	0.075	0.036	0.096	0.094
2019-07-01T02:30:00Z	0.07	0.044	0.096	0.092
2019-07-01T02:45:00Z	0.063	0.036	0.098	0.094
2019-07-01T03:00:00Z	0.068	0.038	0.095	0.093
2019-07-01T03:15:00Z	0.066	0.036	0.095	0.095
2019-07-01T03:30:00Z	0.071	0.033	0.096	0.094
2019-07-01T03:45:00Z	0.069	0.031	0.096	0.093
2019-07-01T04:00:00Z	0.066	0.039	0.097	0.094
2019-07-01T04:15:00Z	0.069	0.033	0.094	0.095
2019-07-01T04:30:00Z	0.089	0.043	0.097	0.095
2019-07-01T04:45:00Z	0.082	0.031	0.094	0.093
2019-07-01T05:00:00Z	0.092	0.035	0.094	0.094
2019-07-01T05:15:00Z	0.066	0.034	0.095	0.091
2019-07-01T05:30:00Z	0.069	0.032	0.098	0.092
2019-07-01T05:45:00Z	0.068	0.035	0.096	0.094
2019-07-01T06:00:00Z	0.068	0.034	0.099	0.094
2019-07-01T06:15:00Z	0.068	0.04	0.098	0.095
2019-07-01T06:30:00Z	0.068	0.034	0.096	0.096
2019-07-01T06:45:00Z	0.09	0.04	0.095	0.093
2019-07-01T07:00:00Z	0.065	0.046	0.097	0.091
2019-07-01T07:15:00Z	0.091	0.046	0.101	0.097
2019-07-01T07:30:00Z	0.063	0.04	0.096	0.093
2019-07-01T07:45:00Z	0.07	0.039	0.096	0.095
2019-07-01T08:00:00Z	0.079	0.039	0.097	0.097
2019-07-01T08:15:00Z	0.068	0.042	0.096	0.097
2019-07-01T08:30:00Z	0.064	0.035	0.095	0.097
2019-07-01T08:45:00Z	0.089	0.035	0.094	0.096
2019-07-01T09:00:00Z	0.078	0.043	0.094	0.09
2019-07-01T09:15:00Z	0.065	0.035	0.094	0.094
2019-07-01T09:30:00Z	0.075	0.04	0.095	0.097
2019-07-01T09:45:00Z	0.063	0.034	0.095	0.098
2019-07-01T10:00:00Z	0.061	0.033	0.096	0.092
2019-07-01T10:15:00Z	0.085	0.041	0.094	0.093
2019-07-01T10:30:00Z	0.077	0.041	0.093	0.091
2019-07-01T10:45:00Z	0.065	0.034	0.096	0.092
2019-07-01T11:00:00Z	0.093	0.033	0.095	0.091
2019-07-01T11:15:00Z	0.066	0.032	0.091	0.096
2019-07-01T11:30:00Z	0.07	0.043	0.097	0.095
2019-07-01T11:45:00Z	0.081	0.042	0.097	0.088
2019-07-01T12:00:00Z	0.081	0.047	0.099	0.094
2019-07-01T12:15:00Z	0.088	0.042	0.096	0.094
2019-07-01T12:30:00Z	0.086	0.031	0.094	0.091
2019-07-01T12:45:00Z	0.088	0.043	0.094	0.096
2019-07-01T13:00:00Z	0.086	0.047	0.094	0.095
2019-07-01T13:15:00Z	0.069	0.049	0.093	0.097
2019-07-01T13:30:00Z	0.093	0.041	0.095	0.097
2019-07-01T13:45:00Z	0.091	0.048	0.096	0.089
2019-07-01T14:00:00Z	0.086	0.034	0.103	0.095
2019-07-01T14:15:00Z	0.088	0.046	0.097	0.096
2019-07-01T14:30:00Z	0.077	0.044	0.098	0.095
2019-07-01T14:45:00Z	0.089	0.046	0.092	0.097
2019-07-01T15:00:00Z	0.071	0.041	0.091	0.091
2019-07-01T15:15:00Z	0.088	0.046	0.095	0.09
2019-07-01T15:30:00Z	0.079	0.036	0.095	0.096
2019-07-01T15:45:00Z	0.091	0.048	0.093	0.087
2019-07-01T16:00:00Z	0.08	0.049	0.096	0.094
2019-07-01T16:15:00Z	0.084	0.036	0.091	0.091
2019-07-01T16:30:00Z	0.084	0.042	0.098	0.092
2019-07-01T16:45:00Z	0.09	0.037	0.095	0.091
2019-07-01T17:00:00Z	0.077	0.045	0.096	0.096
2019-07-01T17:15:00Z	0.067	0.047	0.098	0.09
2019-07-01T17:30:00Z	0.08	0.044	0.095	0.092
2019-07-01T17:45:00Z	0.078	0.044	0.094	0.093
2019-07-01T18:00:00Z	0.074	0.043	0.098	0.093
2019-07-01T18:15:00Z	0.078	0.045	0.095	0.094
2019-07-01T18:30:00Z	0.086	0.048	0.099	0.092
2019-07-01T18:45:00Z	0.093	0.042	0.098	0.088
2019-07-01T19:00:00Z	0.081	0.034	0.093	0.095
2019-07-01T19:15:00Z	0.067	0.038	0.096	0.095
2019-07-01T19:30:00Z	0.06	0.034	0.094	0.09
2019-07-01T19:45:00Z	0.079	0.039	0.096	0.09
2019-07-01T20:00:00Z	0.087	0.04	0.095	0.092
2019-07-01T20:15:00Z	0.091	0.045	0.097	0.091
