datetime	theta15	theta25	theta35	theta45	theta65	theta105
2020-07-14T13:20:05Z	0.067	0.079	0.075	0.119	0.12	0.177
2020-07-14T13:40:05Z	0.067	0.079	0.075	0.119	0.12	0.177
2020-07-14T14:00:05Z	0.066	0.079	0.075	0.119	0.12	0.177
2020-07-14T14:20:05Z	0.066	0.079	0.075	0.119	0.12	0.177
2020-07-14T14:40:05Z	0.066	0.079	0.075	0.119	0.12	0.177
2020-07-14T15:20:05Z	0.064	0.079	0.075	0.118	0.12	0.177
2020-07-14T15:40:05Z	0.064	0.079	0.075	0.118	0.12	0.177
2020-07-14T16:00:05Z	0.064	0.079	0.075	0.118	0.12	0.177
2020-07-14T16:20:05Z	0.064	0.079	0.075	0.118	0.12	0.177
2020-07-14T16:40:05Z	0.064	0.079	0.075	0.118	0.12	0.177
2020-07-14T17:00:05Z	0.063	0.079	0.075	0.118	0.12	0.177
2020-07-14T17:20:05Z	0.064	0.079	0.075	0.118	0.12	0.177
2020-07-14T17:40:05Z	0.063	0.078	0.075	0.118	0.12	0.177
2020-07-14T18:00:05Z	0.063	0.078	0.075	0.118	0.12	0.177
2020-07-14T18:20:05Z	0.062	0.078	0.075	0.118	0.12	0.177
2020-07-14T18:40:05Z	0.062	0.078	0.075	0.118	0.12	0.177
2020-07-14T19:00:05Z	0.063	0.078	0.075	0.118	0.12	0.177
2020-07-14T19:20:05Z	0.063	0.078	0.075	0.118	0.12	0.177
2020-07-14T19:40:05Z	0.063	0.078	0.075	0.118	0.12	0.177
2020-07-14T20:00:05Z	0.062	0.078	0.075	0.118	0.12	0.177
2020-07-14T20:20:05Z	0.062	0.078	0.075	0.118	0.12	0.177
2020-07-14T20:40:05Z	0.062	0.078	0.075	0.118	0.12	0.177
2020-07-14T21:00:05Z	0.062	0.078	0.075	0.118	0.12	0.177
2020-07-14T21:20:05Z	0.062	0.078	0.075	0.118	0.12	0.177
2020-07-14T21:40:05Z	0.062	0.078	0.075	0.118	0.12	0.177
2020-07-14T22:00:05Z	0.062	0.078	0.075	0.118	0.12	0.177
2020-07-14T22:20:05Z	0.063	0.078	0.075	0.118	0.12	0.176
2020-07-14T22:40:05Z	0.062	0.077	0.075	0.118	0.12	0.176
2020-07-14T23:00:05Z	0.062	0.077	0.075	0.118	0.12	0.176
2020-07-14T23:20:05Z	0.062	0.077	0.075	0.118	0.119	0.176
2020-07-14T23:40:05Z	0.061	0.077	0.075	0.118	0.119	0.176
2020-07-15T00:00:05Z	0.061	0.077	0.075	0.118	0.119	0.176
2020-07-15T00:20:05Z	0.062	0.077	0.075	0.118	0.119	0.176
2020-07-15T00:40:05Z	0.062	0.077	0.075	0.118	0.119	0.176
2020-07-15T01:00:05Z	0.061	0.077	0.075	0.118	0.119	0.176
