datetime	theta5	theta10	theta20	theta40	theta60
2018-12-13T11:00:00Z	0.1507	0.1921	0.14	0.06	0.0797
2018-12-13T11:15:00Z	0.1496	0.1921	0.1411	0.06	0.0797
2018-12-13T11:30:00Z	0.1496	0.1921	0.1421	0.06	0.0797
2018-12-13T11:45:00Z	0.1496	0.1921	0.1421	0.06	0.0797
2018-12-13T12:00:00Z	0.1496	0.1921	0.1421	0.06	0.0797
2018-12-13T12:15:00Z	0.1496	0.1921	0.1421	0.06	0.0788
2018-12-13T12:30:00Z	0.1496	0.1921	0.1432	0.06	0.0788
2018-12-13T12:45:00Z	0.1496	0.1921	0.1432	0.06	0.0788
2018-12-13T13:00:00Z	0.1496	0.1921	0.1432	0.06	0.0788
2018-12-13T13:15:00Z	0.1496	0.1921	0.1443	0.06	0.0788
2018-12-13T13:30:00Z	0.1496	0.1921	0.1443	0.06	0.0788
2018-12-13T13:45:00Z	0.1496	0.1921	0.1443	0.06	0.0788
2018-12-13T14:00:00Z	0.1496	0.1921	0.1443	0.06	0.0788
2018-12-13T14:15:00Z	0.1496	0.1921	0.1453	0.06	0.0788
2018-12-13T14:30:00Z	0.1496	0.1921	0.1453	0.06	0.0788
2018-12-13T14:45:00Z	0.1496	0.1921	0.1453	0.06	0.0788
2018-12-13T15:00:00Z	0.1496	0.1921	0.1453	0.06	0.0788
2018-12-13T15:15:00Z	0.1496	0.1921	0.1453	0.06	0.0788
2018-12-13T15:30:00Z	0.1496	0.1921	0.1453	0.06	0.0788
2018-12-13T15:45:00Z	0.1496	0.1921	0.1453	0.06	0.0788
2018-12-13T16:00:00Z	0.1496	0.1921	0.1453	0.06	0.0788
2018-12-13T16:15:00Z	0.1496	0.1921	0.1464	0.06	0.0788
2018-12-13T16:30:00Z	0.1496	0.1921	0.1464	0.06	0.0788
2018-12-13T16:45:00Z	0.1496	0.1921	0.1464	0.06	0.0788
2018-12-13T17:00:00Z	0.1496	0.1921	0.1464	0.06	0.0788
2018-12-13T17:15:00Z	0.1496	0.1921	0.1464	0.06	0.0788
2018-12-13T17:30:00Z	0.1496	0.1921	0.1464	0.06	0.0788
2018-12-13T17:45:00Z	0.1496	0.1921	0.1464	0.06	0.0788
2018-12-13T18:00:00Z	0.1496	0.1921	0.1464	0.06	0.0788
2018-12-13T18:15:00Z	0.1485	0.1921	0.1464	0.06	0.0788
2018-12-13T18:30:00Z	0.1485	0.1921	0.1464	0.06	0.0788
2018-12-13T18:45:00Z	0.1485	0.1921	0.1464	0.06	0.0788
2018-12-13T19:00:00Z	0.1485	0.1921	0.1464	0.06	0.0788
2018-12-13T19:15:00Z	0.1485	0.1921	0.1464	0.06	0.0788
2018-12-13T19:30:00Z	0.1485	0.1921	0.1464	0.06	0.0788
2018-12-13T19:45:00Z	0.1485	0.1921	0.1464	0.06	0.0788
2018-12-13T20:00:00Z	0.1485	0.1921	0.1464	0.06	0.0788
2018-12-13T20:15:00Z	0.1485	0.1921	0.1464	0.06	0.0788
2018-12-13T20:30:00Z	0.1485	0.1921	0.1464	0.06	0.0788
2018-12-13T20:45:00Z	0.1485	0.1921	0.1464	0.06	0.0788
2018-12-13T21:00:00Z	0.1485	0.1921	0.1464	0.06	0.0788
