location_ID	device	depth_cm	lat	lon
01	profile probe	10,20,30,40,60,100	52.466409500000005	12.958341570000011
02	profile probe	10,20,30,40,60,100	52.466124619999995	12.956252469999994
04	profile probe	10,20,30,40,60,100	52.467105959999998	12.957845620000001
09	profile probe	10,20,30,40,60,100	52.465328464866865	12.957474744871107
11	profile probe	10,20,30,40,60,100	52.466433849711969	12.959214859940541
11_1	theta probe	50,100,150,200	52.466387278643523	12.959228941537184
12	profile probe	10,20,30,40,60,100	52.467575137393290	12.958543612927640
13	profile probe	10,20,30,40,60,100	52.465704751022805	12.959291746204594
2_1	theta probe	50,80,110,140	52.465839591623549	12.956777926031345
21	profile probe	10,20,30,40,60,100	52.465855970000007	12.957534910000009
21_1	theta probe	15,25,35,50	52.465511595575599	12.957706637297376
22	profile probe	10,20,30,40,60,100	52.465574668227589	12.958621646147691
22_1	theta probe	50,100,150,200	52.465559144239997	12.958620975596183
26_1	profile probe	10,20,30,40,60,100	52.466368681166990	12.957248872166968
26_2	theta probe	15,25,35,50	52.466594275333009	12.957371913000038
28	profile probe	10,20,30,40,60,100	52.465198289999996	12.958172149999999
B13	profile probe	10,20,30,40,60,100	52.465707879999997	12.958770950000000
B6	profile probe	10,20,30,40,60,100	52.466251290000002	12.958597670000000
B9	profile probe	10,20,30,40,60,100	52.466018720000001	12.959034530000000
mq_1a	theta probe	5,10,29,40,60	52.466452618691200	12.959257020172871
mq_1b	5TE sensor	5,10,20,40,60	52.466452618691200	12.959257020172871
mq_2a	theta probe	5,10,20,40,60	52.466433244752771	12.959057061844849
mq_2b	5TE sensor	5,10,20,40,60	52.466433244752771	12.959057061844849
mq_3a	theta probe	5,10,20,40,60	52.466488237566189	12.960064472181211
mq_3b	5TE sensor	5,10,20,40,60	52.466488237566189	12.960064472181211
TDR_P1	TDR probe	9,11,25,45	52.466900000000003	12.959527000000000
TDR_P2	TDR probe	9,11,25,45	52.466900000000003	12.959527000000000
TDR_P3	TDR probe	9,11,25,45	52.466900000000003	12.959527000000000
TDR_P4	TDR probe	25,45,75	52.466900000000003	12.959527000000000
TDR_P5	TDR probe	9,11,25,45,75	52.466900000000003	12.959527000000000
